nome,codbairro,regiao_adm,codra,area_plane,Total_de_pessoas_2010,Total_de_pessoas_2022,diferenca_de_pessoas,Total_de_domicilios_2022,Total_DP_2022,Total_DC,Total_DP_Ocup_2010,Total_DP_Ocup_2022,diferenca_de_DP,Shape_Length,Shape_Area,OBJECTID_1
Curicica,119,JACAREPAGUA,16,4,31189,29109,-2080,13664,13657,7,10092,11164,1072,9985.69218281795,3339574.41352245,26
Gardênia Azul,117,JACAREPAGUA,16,4,17715,20490,2775,9860,9860,0,6027,8302,2275,4618.11223963632,1236294.80568993,27
Jardim Botânico,028,LAGOA,6,2,18009,15871,-2138,7933,7927,6,6979,6949,-30,12263.1316229627,2689210.85548533,28
Gávea,029,LAGOA,6,2,16003,14176,-1827,7502,7496,6,6417,6562,145,14268.5242862179,2579643.41496275,29
Vidigal,030,LAGOA,6,2,12797,15112,2315,6729,6722,7,4307,6011,1704,7553.35399230811,1621382.12182566,30
São Conrado,031,LAGOA,6,2,10980,9739,-1241,4645,4644,1,3855,4043,188,13311.9107097911,6488582.98318441,31
Tijuca,033,TIJUCA,8,2,163805,142326,-21479,70928,70877,51,61923,60892,-1031,20628.8529332613,10065585.2970684,32
Alto da Boa Vista,034,TIJUCA,8,2,9343,9831,488,4422,4414,8,2974,3785,811,43744.4695415772,31495759.6494942,33
Zumbi,092,ILHA DO GOVERNADOR,20,3,2016,1817,-199,855,854,1,731,738,7,2122.52410663597,161118.235725701,34
Penha,043,PENHA,11,3,78678,58516,-20162,27541,27538,3,23923,22619,-1304,13667.79401166,5811338.8208522,35
Engenheiro Leal,081,MADUREIRA,15,3,6113,5200,-913,2195,2195,0,1886,1841,-45,3785.03173086857,708276.174339956,36
Vaz Lobo,084,MADUREIRA,15,3,15167,10995,-4172,5597,5597,0,4897,4363,-534,5030.57392694362,1101223.89912826,37
Ribeira,091,ILHA DO GOVERNADOR,20,3,3528,3474,-54,1674,1673,1,1264,1426,162,7050.04108423601,861927.156472415,38
Cacuia,093,ILHA DO GOVERNADOR,20,3,11013,10392,-621,4821,4821,0,3769,4125,356,10232.3470148965,2068691.67036394,39
Bancários,097,ILHA DO GOVERNADOR,20,3,12512,11062,-1450,5121,5120,1,4088,4435,347,7758.79189486875,978049.182262859,40
Freguesia (Ilha),098,ILHA DO GOVERNADOR,20,3,19437,15900,-3537,7629,7627,2,6585,6013,-572,18303.6213854477,4056413.75801144,41
Galeão,104,ILHA DO GOVERNADOR,20,3,22971,20816,-2155,8948,8944,4,6861,7595,734,21510.0883960412,18957473.3780977,42
Cidade Universitária,105,ILHA DO GOVERNADOR,20,3,1556,1303,-253,622,570,52,457,434,-23,22376.2525215015,4690719.08722401,43
Jacarepaguá,115,JACAREPAGUA,16,4,143440,175943,32503,81608,81588,20,47904,69078,21174,74074.6982116809,68210569.6811422,44
Parque Anchieta,108,ANCHIETA,22,3,26212,21833,-4379,10084,10082,2,8479,8433,-46,13017.7526348761,3905800.48205228,45
Vila da Penha,074,IRAJA,14,3,25465,21950,-3515,10614,10613,1,9190,8884,-306,6100.1704924185,1435719.61708016,46
Vista Alegre,075,IRAJA,14,3,8622,7059,-1563,3239,3237,2,3008,2763,-245,3581.53091070947,515210.428664153,47
Taquara,122,JACAREPAGUA,16,4,102126,107188,5062,49985,49965,20,33850,41530,7680,22254.6902935559,13206665.3174263,48
Santo Cristo,003,PORTUARIA,1,1,12330,9936,-2394,4987,4985,2,4087,3955,-132,6743.22788487282,1684725.17699493,49
Caju,004,PORTUARIA,1,1,20477,24116,3639,10773,10771,2,6482,9784,3302,19800.5225235365,5347494.84863504,50
Bangu,141,BANGU,17,5,218089,211912,-6177,87466,87434,32,69016,76572,7556,46529.035222409,35966293.1776286,51
Centro,005,CENTRO,2,1,29555,23642,-5913,18078,18016,62,14035,12916,-1119,22846.2448060092,5424753.71225793,52
Campo Grande,144,CAMPO GRANDE,18,5,328370,352704,24334,161930,161876,54,104871,129987,25116,75083.75196163,104445426.692944,53
Inhoaíba,146,CAMPO GRANDE,18,5,64649,72141,7492,28245,28239,6,19874,25907,6033,15356.8850050675,8287905.19958888,54
Gericinó,160,BANGU,17,5,15167,20690,5523,1121,1075,46,783,877,94,8828.55570928851,2534311.07394388,55
Lapa,161,CENTRO,2,1,11587,9116,-2471,6789,6759,30,5620,5037,-583,3849.18181823597,298326.620332345,56
Catumbi,006,RIO COMPRIDO,3,1,12556,12201,-355,5303,5299,4,4033,4722,689,5123.71245374969,539459.892675655,57
Maré,157,COMPLEXO DA MARE,30,3,129770,124832,-4938,54884,54883,1,41750,47045,5295,13082.6387100714,4268772.77538116,58
Vila Kennedy,162,BANGU,17,5,25036,21579,-3457,8680,8677,3,7816,8093,277,6789.6095794044,1473741.30099239,59
Jabour,163,BANGU,17,5,5346,5287,-59,2400,2397,3,1828,2137,309,2235.74840680834,327327.981015897,60
Ilha de Guaratiba,164,GUARATIBA,26,5,3580,6099,2519,2615,2615,0,1107,2052,945,13955.1368557257,7714636.53610849,61
Gamboa,002,PORTUARIA,1,1,13108,11416,-1692,5551,5525,26,4256,4691,435,4612.83363044584,1112905.72050921,62
Rio Comprido,007,RIO COMPRIDO,3,1,43764,39890,-3874,18148,18141,7,14369,16024,1655,12681.0792577535,3342519.56022305,63
Rocha,058,MEIER,13,3,8766,15900,7134,6906,6901,5,3130,6017,2887,5717.94171897523,1311629.11451413,64
Cidade Nova,008,RIO COMPRIDO,3,1,5466,4745,-721,2392,2391,1,1941,1928,-13,4790.11644919017,934855.375459831,65
Estácio,009,RIO COMPRIDO,3,1,17189,23260,6071,8894,8862,32,5826,8155,2329,5269.43249895272,980403.290771837,66
Mangueira,011,SAO CRISTOVAO,7,1,17835,18247,412,7123,7123,0,5160,6729,1569,4489.00969205913,798131.050532149,67
São Cristóvão,010,SAO CRISTOVAO,7,1,26510,27911,1401,12417,12413,4,8609,10501,1892,14129.085003761,4105654.8523132,68
Riachuelo,059,MEIER,13,3,12653,10514,-2139,5520,5515,5,4534,4402,-132,5342.53695888959,928110.984474532,69
